"H1","H2","H3","H4","H5","procedure"
0.5745849609375,0.645538330078125,0.486793518066406,0.719406127929688,0.658920288085938,"graphicalMCP"
0.392974853515625,0.403961181640625,0.654449462890625,0.475326538085938,0.511680603027344,"graphicalMCP"
0.571746826171875,0.615623474121094,0.446060180664062,0.742645263671875,0.581085205078125,"graphicalMCP"
0.527450561523438,0.418136596679688,0.621902465820312,0.524269104003906,0.552864074707031,"graphicalMCP"
0.612770080566406,0.704742431640625,0.5938720703125,0.5947265625,0.587310791015625,"graphicalMCP"
0.744041442871094,0.76116943359375,0.611610412597656,0.58294677734375,0.6990966796875,"graphicalMCP"
0.714614868164062,0.523040771484375,0.418594360351562,0.38861083984375,0.561729431152344,"graphicalMCP"
0.646102905273438,0.714027404785156,0.59759521484375,0.559585571289062,0.561927795410156,"graphicalMCP"
0.553031921386719,0.653511047363281,0.557807922363281,0.406234741210938,0.745803833007812,"graphicalMCP"
0.729171752929688,0.79913330078125,0.676597595214844,0.75634765625,0.560447692871094,"graphicalMCP"
0.467720031738281,0.366310119628906,0.384010314941406,0.61431884765625,0.419631958007812,"graphicalMCP"
0.523651123046875,0.335220336914062,0.458847045898438,0.48431396484375,0.570976257324219,"graphicalMCP"
0.441024780273438,0.709686279296875,0.429908752441406,0.668426513671875,0.72802734375,"graphicalMCP"
0.736396789550781,0.644805908203125,0.621124267578125,0.614250183105469,0.793373107910156,"graphicalMCP"
0.419143676757812,0.488548278808594,0.480354309082031,0.543724060058594,0.696731567382812,"graphicalMCP"
0.452362060546875,0.367210388183594,0.4249267578125,0.397293090820312,0.447296142578125,"graphicalMCP"
0.511161804199219,0.390777587890625,0.662765502929688,0.648277282714844,0.518196105957031,"graphicalMCP"
0.619064331054688,0.519363403320312,0.573585510253906,0.422645568847656,0.636482238769531,"graphicalMCP"
0.699661254882812,0.495147705078125,0.389907836914062,0.430038452148438,0.627052307128906,"graphicalMCP"
0.655487060546875,0.372718811035156,0.431808471679688,0.593788146972656,0.616409301757812,"graphicalMCP"
0.564567565917969,0.701187133789062,0.701896667480469,0.452880859375,0.731132507324219,"graphicalMCP"
0.458290100097656,0.749809265136719,0.735923767089844,0.450019836425781,0.521064758300781,"graphicalMCP"
0.46978759765625,0.396392822265625,0.562881469726562,0.754241943359375,0.565902709960938,"graphicalMCP"
0.503120422363281,0.494598388671875,0.649810791015625,0.468177795410156,0.716712951660156,"graphicalMCP"
0.418724060058594,0.596435546875,0.442916870117188,0.452239990234375,0.405181884765625,"graphicalMCP"
